Isolate ID	Quality Module	Genotype	Predicted Phenotype	CGE Predicted Phenotype	Plasmid	Scheme	Sequence Type	Genome Length	N50 value	Number of Contigs Greater Than Or Equal To 300 bp	Quality Module Feedback
GCA_040187265.1_ASM4018726v1_genomic	Failed	aph(3')-Ia, aph(3')-IIb, blaOXA-494, blaPAO, catB7, CmlA9, fosA, sul1, tet(G)	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, unknown[CmlA9_1_JN406319], fosfomycin, sulfisoxazole, tetracycline	Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin, Unknown Aminoglycoside, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	244	7139579	262053	123	Genome length is not within the acceptable length range [4000000,6000000]
GCA_040187275.1_ASM4018727v1_genomic	Failed	aph(3')-IIb, blaOXA-486, blaPAO, catB7, crpP, fosA	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, ciprofloxacin I/R, fosfomycin	Unknown Aminoglycoside, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Ciprofloxacin, Fosfomycin	None	paeruginosa	639	6557115	378084	68	Genome length is not within the acceptable length range [4000000,6000000]
GCA_040187315.1_ASM4018731v1_genomic	Failed	aph(3'')-Ib, aph(3')-IIb, aph(6)-Id, blaOXA-395, blaPAO, catB7, fosA, sul2, tet(A)	streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin, sulfisoxazole, tetracycline	Streptomycin, Kanamycin, Neomycin, Paromomycin, Ribostamycin, Butiromycin, Gentamicin, Amoxicillin, Ampicillin, Meropenem, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	1116	6541639	536883	63	Genome length is not within the acceptable length range [4000000,6000000]
GCA_040187325.1_ASM4018732v1_genomic	Failed	aph(3')-IIb, blaOXA-488, blaPAO, catB7, fosA	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin	Unknown Aminoglycoside, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin	None	paeruginosa	3986	6345945	249642	69	Genome length is not within the acceptable length range [4000000,6000000]
GCA_040187355.1_ASM4018735v1_genomic	Failed	aph(3')-IIb, blaOXA-486, blaPAO, catB7, fosA	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin	Unknown Aminoglycoside, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin	None	paeruginosa	5187	6471880	222576	70	Genome length is not within the acceptable length range [4000000,6000000]
GCA_040187375.1_ASM4018737v1_genomic	Failed	aac(6')-Il, ant(2'')-Ia, ant(3'')-Ia, aph(3')-IIb, blaOXA-10, blaOXA-50, blaPAO, blaVEB-1, catB7, CmlA9, crpP, dfrB2, fosA, rmtD2, sul1, tet(A), tet(G)	gentamicin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, unknown[CmlA9_1_JN406319], ciprofloxacin I/R, trimethoprim, fosfomycin, amikacin, sulfisoxazole, tetracycline	Amikacin, Tobramycin, Gentamicin, Streptomycin, Unknown Aminoglycoside, Amoxicillin, Ampicillin, Aztreonam, Piperacillin, Piperacillin+Tazobactam, Cefepime, Ceftazidime, Amoxicillin+Clavulanic acid, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ticarcillin, Ticarcillin+Clavulanic acid, Chloramphenicol, Ciprofloxacin, Trimethoprim, Fosfomycin, Kanamycin, Netilmicin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	357	6846808	269148	88	Genome length is not within the acceptable length range [4000000,6000000]
GCA_040187385.1_ASM4018738v1_genomic	Failed	aph(3')-IIb, blaOXA-486, blaPAO, catB7, fosA	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin	Unknown Aminoglycoside, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin	None	paeruginosa	2629	6303537	137358	80	Genome length is not within the acceptable length range [4000000,6000000]
GCA_040187395.1_ASM4018739v1_genomic	Failed	aac(6')-Ib, aph(3')-IIb, blaOXA-10, blaOXA-50, blaPAO, catB7, CmlA9, fosA, sul1, tet(G)	amikacin, gentamicin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, unknown[CmlA9_1_JN406319], fosfomycin, sulfisoxazole, tetracycline	Amikacin, Tobramycin, Unknown Aminoglycoside, Amoxicillin, Ampicillin, Aztreonam, Piperacillin, Piperacillin+Tazobactam, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	664	7059875	231218	128	Genome length is not within the acceptable length range [4000000,6000000]
GCA_040187415.1_ASM4018741v1_genomic	Failed	aac(6')-Ib-Hangzhou, aph(3'')-Ib, aph(3')-IIb, aph(6)-Id, blaGES-9, blaOXA-395, blaPAO, CmlA9, dfrA5, ere(A), fosA, rmtF, sul1, tet(G)	gentamicin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, unknown[CmlA9_1_JN406319], trimethoprim, erythromycin, fosfomycin, amikacin, sulfisoxazole, tetracycline	Amikacin, Tobramycin, Streptomycin, Kanamycin, Neomycin, Paromomycin, Ribostamycin, Butiromycin, Gentamicin, Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefoxitin, Cefotaxime, Ceftazidime, Aztreonam, Piperacillin, Ticarcillin, Meropenem, Cefepime, Chloramphenicol, Trimethoprim, Erythromycin, Fosfomycin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	1203	6946740	364573	75	Genome length is not within the acceptable length range [4000000,6000000]
GCA_040187425.1_ASM4018742v1_genomic	Failed	aph(3')-IIb, blaOXA-50, blaPAO, catB7, fosA	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin	Unknown Aminoglycoside, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin	None	paeruginosa	1455	6992496	220509	64	Genome length is not within the acceptable length range [4000000,6000000]
GCA_040187475.1_ASM4018747v1_genomic	Failed	aph(3')-IIb, blaOXA-50, blaPAO, catB7, fosA	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin	Unknown Aminoglycoside, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin	None	paeruginosa	1455	6991611	218520	74	Genome length is not within the acceptable length range [4000000,6000000]
GCA_040187495.1_ASM4018749v1_genomic	Failed	aph(3')-IIb, blaOXA-50, blaPAO, catB7, fosA	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin	Unknown Aminoglycoside, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin	None	paeruginosa	1455	6990590	234215	64	Genome length is not within the acceptable length range [4000000,6000000]
GCA_040187505.1_ASM4018750v1_genomic	Failed	aac(6')-Il, ant(2'')-Ia, ant(3'')-Ia, aph(3')-IIb, blaOXA-10, blaOXA-50, blaPAO, blaVEB-1, catB7, crpP, dfrB2, fosA, sul1, tet(A)	gentamicin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, ciprofloxacin I/R, trimethoprim, fosfomycin, sulfisoxazole, tetracycline	Amikacin, Tobramycin, Gentamicin, Streptomycin, Unknown Aminoglycoside, Amoxicillin, Ampicillin, Aztreonam, Piperacillin, Piperacillin+Tazobactam, Cefepime, Ceftazidime, Amoxicillin+Clavulanic acid, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ticarcillin, Ticarcillin+Clavulanic acid, Chloramphenicol, Ciprofloxacin, Trimethoprim, Fosfomycin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	357	6724527	232719	83	Genome length is not within the acceptable length range [4000000,6000000]
GCA_040187515.1_ASM4018751v1_genomic	Failed	aph(3')-IIb, blaOXA-486, blaPAO, catB7, fosA	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin	Kanamycin, Neomycin, Paromomycin, Ribostamycin, Butiromycin, Gentamicin, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin	None	paeruginosa	508	6433801	407892	48	Genome length is not within the acceptable length range [4000000,6000000]
GCA_040187535.1_ASM4018753v1_genomic	Failed	aph(3')-IIb, blaOXA-50, blaPAO, catB7, fosA	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin	Unknown Aminoglycoside, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin	None	paeruginosa	357	6501999	278433	67	Genome length is not within the acceptable length range [4000000,6000000]
GCA_040187555.1_ASM4018755v1_genomic	Failed	aac(6')-Ib-Hangzhou, aph(3'')-Ib, aph(3')-IIb, aph(6)-Id, blaGES-9, blaOXA-395, blaPAO, CmlA9, dfrA5, ere(A), fosA, sul1, tet(G)	gentamicin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, unknown[CmlA9_1_JN406319], trimethoprim, erythromycin, fosfomycin, sulfisoxazole, tetracycline	Amikacin, Tobramycin, Streptomycin, Kanamycin, Neomycin, Paromomycin, Ribostamycin, Butiromycin, Gentamicin, Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefoxitin, Cefotaxime, Ceftazidime, Aztreonam, Piperacillin, Ticarcillin, Meropenem, Cefepime, Chloramphenicol, Trimethoprim, Erythromycin, Fosfomycin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	1203	7036418	270573	76	Genome length is not within the acceptable length range [4000000,6000000]
GCA_040187595.1_ASM4018759v1_genomic	Failed	aac(6')-Ib3, aph(3'')-Ib, aph(3')-IIb, aph(6)-Id, blaOXA-10, blaOXA-488, blaPAO, catB7, FloR, fosA, rmtF, sul1, sul2	amikacin, tobramycin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, unknown[FloR_4_CP136914], fosfomycin, gentamicin, sulfisoxazole	Amikacin, Tobramycin, Streptomycin, Kanamycin, Neomycin, Paromomycin, Ribostamycin, Butiromycin, Gentamicin, Amoxicillin, Ampicillin, Aztreonam, Piperacillin, Piperacillin+Tazobactam, Unknown Beta-lactam, Cefepime, Ceftazidime, Chloramphenicol, Florphenicol, Fosfomycin, Sulfamethoxazole	None	paeruginosa	308	7113974	238893	96	Genome length is not within the acceptable length range [4000000,6000000]
GCA_040187605.1_ASM4018760v1_genomic	Failed	aph(3')-IIb, blaOXA-395, blaPAO, catB7, fosA	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin	Unknown Aminoglycoside, Amoxicillin, Ampicillin, Meropenem, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin	None	paeruginosa	796	6250599	424006	59	Genome length is not within the acceptable length range [4000000,6000000]
GCA_040187635.1_ASM4018763v1_genomic	Failed	aac(6')-Ib3, aac(6')-Il, aph(3')-IIb, blaOXA-10, blaOXA-488, blaPAO, catB7, crpP, fosA, sul1	amikacin, tobramycin, gentamicin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, ciprofloxacin I/R, fosfomycin, sulfisoxazole	Amikacin, Tobramycin, Unknown Aminoglycoside, Amoxicillin, Ampicillin, Aztreonam, Piperacillin, Piperacillin+Tazobactam, Unknown Beta-lactam, Cefepime, Ceftazidime, Chloramphenicol, Ciprofloxacin, Fosfomycin, Sulfamethoxazole	None	paeruginosa	235	6883483	186227	129	Genome length is not within the acceptable length range [4000000,6000000]
GCA_040187645.1_ASM4018764v1_genomic	Failed	aac(6')-Il, ant(2'')-Ia, ant(3'')-Ia, aph(3')-IIb, blaOXA-10, blaOXA-50, blaPAO, blaVEB-1, catB7, crpP, dfrB2, fosA, sul1, tet(A)	gentamicin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, ciprofloxacin I/R, trimethoprim, fosfomycin, sulfisoxazole, tetracycline	Amikacin, Tobramycin, Gentamicin, Streptomycin, Unknown Aminoglycoside, Amoxicillin, Ampicillin, Aztreonam, Piperacillin, Piperacillin+Tazobactam, Cefepime, Ceftazidime, Amoxicillin+Clavulanic acid, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ticarcillin, Ticarcillin+Clavulanic acid, Chloramphenicol, Ciprofloxacin, Trimethoprim, Fosfomycin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	357	6692134	225070	82	Genome length is not within the acceptable length range [4000000,6000000]
GCA_040187655.1_ASM4018765v1_genomic	Failed	aac(6')-Ib3, ant(2'')-Ia, aph(3'')-Ib, aph(3')-IIb, aph(6)-Id, blaOXA-10, blaOXA-396, blaPAO, catB7, fosA, mph(E), msr(E), sul1	amikacin, tobramycin, gentamicin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin, erythromycin, azithromycin, sulfisoxazole	Amikacin, Tobramycin, Gentamicin, Streptomycin, Unknown Aminoglycoside, Amoxicillin, Ampicillin, Aztreonam, Piperacillin, Piperacillin+Tazobactam, Meropenem, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin, Erythromycin, Azithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S, Sulfamethoxazole	None	paeruginosa	654	6801087	223714	94	Genome length is not within the acceptable length range [4000000,6000000]
GCA_040187685.1_ASM4018768v1_genomic	Failed	aac(6')-Il, aph(3')-IIb, blaOXA-488, blaPAO, catB7, crpP, fosA, sul1	gentamicin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, ciprofloxacin I/R, fosfomycin, sulfisoxazole	Amikacin, Tobramycin, Unknown Aminoglycoside, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Ciprofloxacin, Fosfomycin, Sulfamethoxazole	None	paeruginosa	235	6847483	212142	94	Genome length is not within the acceptable length range [4000000,6000000]
GCA_040187695.1_ASM4018769v1_genomic	Failed	aac(3)-Id, aac(6')-Ib3, aac(6')-Il, aadA11, aph(3'')-Ib, aph(3')-IIb, aph(6)-Id, blaOXA-10, blaOXA-488, blaPAO, catB7, dfrB5, FloR, fosA, qnrVC1, rmtF, sul1, sul2	gentamicin, amikacin, tobramycin, streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, trimethoprim, unknown[FloR_4_CP136914], fosfomycin, ciprofloxacin I/R, sulfisoxazole	Gentamicin, Astromicin, Fortimicin, Amikacin, Tobramycin, Spectinomycin, Streptomycin, Kanamycin, Neomycin, Paromomycin, Ribostamycin, Butiromycin, Amoxicillin, Ampicillin, Aztreonam, Piperacillin, Piperacillin+Tazobactam, Unknown Beta-lactam, Cefepime, Ceftazidime, Chloramphenicol, Trimethoprim, Florphenicol, Fosfomycin, Ciprofloxacin, Sulfamethoxazole	None	paeruginosa	308	6814106	116753	259	Genome length is not within the acceptable length range [4000000,6000000]
GCA_040187725.1_ASM4018772v1_genomic	Failed	aph(3')-Ia, aph(3')-IIb, blaOXA-494, blaPAO, catB7, CmlA9, fosA, sul1, tet(G)	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, unknown[CmlA9_1_JN406319], fosfomycin, sulfisoxazole, tetracycline	Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin, Unknown Aminoglycoside, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	244	7098878	278369	109	Genome length is not within the acceptable length range [4000000,6000000]
GCA_041204985.1_ASM4120498v1_genomic	Failed	aac(3)-Ic, aph(3')-IIb, blaOXA-488, blaPAO, catB7, CmlA7, crpP, fosA, sul1	gentamicin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, unknown[CmlA7_1_JQ639792], ciprofloxacin I/R, fosfomycin, sulfisoxazole	Gentamicin, Astromicin, Fortimicin, Unknown Aminoglycoside, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Ciprofloxacin, Fosfomycin, Sulfamethoxazole	None	paeruginosa	235	6892300	210906	162	Genome length is not within the acceptable length range [4000000,6000000]
GCA_041205025.1_ASM4120502v1_genomic	Failed	aac(3)-Ic, aph(3')-IIb, blaOXA-488, blaPAO, catB7, CmlA7, fosA, sul1	gentamicin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, unknown[CmlA7_1_JQ639792], fosfomycin, sulfisoxazole	Gentamicin, Astromicin, Fortimicin, Unknown Aminoglycoside, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin, Sulfamethoxazole	None	paeruginosa	235	6859011	268206	92	Genome length is not within the acceptable length range [4000000,6000000]
GCA_041205065.1_ASM4120506v1_genomic	Failed	aac(3)-Ic, aph(3')-IIb, blaOXA-488, blaPAO, catB7, CmlA7, fosA, sul1	gentamicin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, unknown[CmlA7_1_JQ639792], fosfomycin, sulfisoxazole	Gentamicin, Astromicin, Fortimicin, Unknown Aminoglycoside, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin, Sulfamethoxazole	None	paeruginosa	235	6908008	224715	131	Genome length is not within the acceptable length range [4000000,6000000]
GCA_041205105.1_ASM4120510v1_genomic	Failed	aac(3)-Ic, aph(3')-IIb, blaKPC-2, blaOXA-488, blaPAO, catB7, CmlA7, fosA, mph(A), sul1	gentamicin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, chloramphenicol, unknown[CmlA7_1_JQ639792], fosfomycin, erythromycin, azithromycin, sulfisoxazole	Gentamicin, Astromicin, Fortimicin, Unknown Aminoglycoside, Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Aztreonam, Cefepime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid, Unknown Beta-lactam, Chloramphenicol, Fosfomycin, Erythromycin, Azithromycin, Spiramycin, Telithromycin, Sulfamethoxazole	None	paeruginosa	235	6789797	235225	96	Genome length is not within the acceptable length range [4000000,6000000]
GCA_041205125.1_ASM4120512v1_genomic	Failed	aac(3)-Ic, aph(3')-IIb, blaOXA-488, blaPAO, catB7, CmlA7, fosA	gentamicin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, unknown[CmlA7_1_JQ639792], fosfomycin	Gentamicin, Astromicin, Fortimicin, Unknown Aminoglycoside, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin	None	paeruginosa	235	6865584	214981	124	Genome length is not within the acceptable length range [4000000,6000000]
GCA_041205145.1_ASM4120514v1_genomic	Failed	aac(3)-Ic, aph(3')-IIb, blaKPC-2, blaOXA-488, blaPAO, catB7, CmlA7, fosA, mph(A), sul1	gentamicin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, chloramphenicol, unknown[CmlA7_1_JQ639792], fosfomycin, erythromycin, azithromycin, sulfisoxazole	Gentamicin, Astromicin, Fortimicin, Unknown Aminoglycoside, Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Aztreonam, Cefepime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid, Unknown Beta-lactam, Chloramphenicol, Fosfomycin, Erythromycin, Azithromycin, Spiramycin, Telithromycin, Sulfamethoxazole	None	paeruginosa	235	6792937	268218	87	Genome length is not within the acceptable length range [4000000,6000000]
GCA_041205165.1_ASM4120516v1_genomic	Failed	aac(3)-Ic, aph(3')-IIb, blaOXA-488, blaPAO, catB7, CmlA7, fosA, sul1	gentamicin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, unknown[CmlA7_1_JQ639792], fosfomycin, sulfisoxazole	Gentamicin, Astromicin, Fortimicin, Unknown Aminoglycoside, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin, Sulfamethoxazole	None	paeruginosa	235	6856140	237665	98	Genome length is not within the acceptable length range [4000000,6000000]
GCA_041205225.1_ASM4120522v1_genomic	Failed	aac(3)-Ic, aph(3')-IIb, blaKPC-2, blaOXA-488, blaPAO, catB7, CmlA7, fosA, mph(A), sul1	gentamicin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, chloramphenicol, unknown[CmlA7_1_JQ639792], fosfomycin, erythromycin, azithromycin, sulfisoxazole	Gentamicin, Astromicin, Fortimicin, Unknown Aminoglycoside, Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Aztreonam, Cefepime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid, Unknown Beta-lactam, Chloramphenicol, Fosfomycin, Erythromycin, Azithromycin, Spiramycin, Telithromycin, Sulfamethoxazole	None	paeruginosa	235	6946433	227455	117	Genome length is not within the acceptable length range [4000000,6000000]
GCA_041357715.1_ASM4135771v1_genomic	Failed	aph(3')-IIb, blaOXA-494, blaPAO, catB7, crpP, fosA	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, ciprofloxacin I/R, fosfomycin	Unknown Aminoglycoside, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Ciprofloxacin, Fosfomycin	None	paeruginosa	27	6770072	442019	63	Genome length is not within the acceptable length range [4000000,6000000]
GCA_041357735.1_ASM4135773v1_genomic	Failed	aac(3)-Id, aac(6')-Ib3, aac(6')-Il, aph(3')-IIb, blaOXA-10, blaOXA-50, blaPAO, blaVIM-2, catB7, dfrB5, fosA, rmtF, sul1	gentamicin, amikacin, tobramycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, chloramphenicol, trimethoprim, fosfomycin, streptomycin, sulfisoxazole	Gentamicin, Astromicin, Fortimicin, Amikacin, Tobramycin, Unknown Aminoglycoside, Amoxicillin, Ampicillin, Aztreonam, Piperacillin, Piperacillin+Tazobactam, Cefepime, Ceftazidime, Amoxicillin+Clavulanic acid, Ampicillin+Clavulanic acid, Cefixime, Cefotaxime, Cefoxitin, Ertapenem, Imipenem, Meropenem, Chloramphenicol, Trimethoprim, Fosfomycin, Sulfamethoxazole	None	paeruginosa	357	6768655	239139	88	Genome length is not within the acceptable length range [4000000,6000000]
GCA_041357775.1_ASM4135777v1_genomic	Failed	aac(3)-Id, aac(6')-Ib3, aac(6')-Il, aph(3')-IIb, blaOXA-10, blaOXA-50, blaPAO, blaVIM-2, catB7, dfrB5, fosA, rmtF, sul1	gentamicin, amikacin, tobramycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, chloramphenicol, trimethoprim, fosfomycin, streptomycin, sulfisoxazole	Gentamicin, Astromicin, Fortimicin, Amikacin, Tobramycin, Unknown Aminoglycoside, Amoxicillin, Ampicillin, Aztreonam, Piperacillin, Piperacillin+Tazobactam, Cefepime, Ceftazidime, Amoxicillin+Clavulanic acid, Ampicillin+Clavulanic acid, Cefixime, Cefotaxime, Cefoxitin, Ertapenem, Imipenem, Meropenem, Chloramphenicol, Trimethoprim, Fosfomycin, Sulfamethoxazole	None	paeruginosa	357	6763808	302737	90	Genome length is not within the acceptable length range [4000000,6000000]
GCA_041501545.1_16ShHly_IVRI_genomic	Failed	aph(3')-IIb, blaOXA-395, blaPAO, fosA	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, fosfomycin	Unknown Aminoglycoside, Amoxicillin, Ampicillin, Meropenem, Cefepime, Ceftazidime, Fosfomycin	None	paeruginosa	1621	6410204	6410204	1	Genome length is not within the acceptable length range [4000000,6000000]
GCA_042788255.1_ASM4278825v1_genomic	Failed	aph(3')-IIb, blaOXA-396, blaPAO, catB7, fosA	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin	Unknown Aminoglycoside, Amoxicillin, Ampicillin, Meropenem, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin	None	paeruginosa	2238	6325274	87492	146	Genome length is not within the acceptable length range [4000000,6000000]
GCA_042788285.1_ASM4278828v1_genomic	Failed	aph(3')-IIb, blaOXA-488, blaPAO, catB7, fosA	kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, chloramphenicol, fosfomycin	Unknown Aminoglycoside, Unknown Beta-lactam, Amoxicillin, Ampicillin, Cefepime, Ceftazidime, Chloramphenicol, Fosfomycin	None	paeruginosa	645	6455110	110177	118	Genome length is not within the acceptable length range [4000000,6000000]
GCA_042788315.1_ASM4278831v1_genomic	Failed	aadA11, aph(3')-IIb, blaNDM-1, blaOXA-395, blaPAO, catB7, CmlA9, fosA, qnrVC1, rmtB, sul1, tet(G)	streptomycin, kanamycin, ampicillin, amoxicillin/clavulanic acid, cefoxitin, ceftriaxone, meropenem, chloramphenicol, unknown[CmlA9_1_JN406319], fosfomycin, ciprofloxacin I/R, amikacin, gentamicin, sulfisoxazole, tetracycline	Spectinomycin, Streptomycin, Kanamycin, Neomycin, Paromomycin, Ribostamycin, Butiromycin, Gentamicin, Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ceftazidime+Avibactam, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Temocillin, Chloramphenicol, Fosfomycin, Ciprofloxacin, Amikacin, Tobramycin, Arbekacin, Sisomicin, Isepamicin, Sulfamethoxazole, Doxycycline, Tetracycline	None	paeruginosa	773	6780233	85216	171	Genome length is not within the acceptable length range [4000000,6000000]
